Name,Description,Cost Price (Exc. Tax),Tax Rate,Cost Price (Inc. Tax),Sale Price (Inc. Tax),Variable Price,Margin %,Tax Exempt/ EBT Eligible,Recommended Retail Price (RRP),Barcode,Category,Product Type,Tare Weight,
Stotfold mill PLAIN WHITE flour,,0.00020,NoTax,0.00020,0.00250,False,92.0000,False,0,,baking,Standard,,
SELF RAISING flour,,0.00088,NoTax,0.00088,0.00250,False,64.8000,False,0,,baking,Standard,,
SEA SALT ,,0.00059,NoTax,0.00059,0.00250,False,76.4000,False,0,,baking,Standard,,
APPLE RINGS ,,0.00250,NoTax,0.00250,0.00690,False,63.7700,False,0,,fruit,Standard,,
APRICOTS CHOPPED ,,0.00258,NoTax,0.00258,0.00610,False,57.7000,False,0,,fruit,Standard,,
BANANA CHIPS ,,0.00296,NoTax,0.00296,0.00650,False,54.4600,False,0,,fruit,Standard,,
DATES ,,0.00199,NoTax,0.00199,0.00490,False,59.3900,False,0,,fruit,Standard,,
PRUNES -,,0.00300,NoTax,0.00300,0.00650,False,53.8500,False,0,,fruit,Standard,,
 raisins,,0.00279,NoTax,0.00279,0.00650,False,57.0800,False,0,,fruit,Standard,,
chillys brush,,4.00000,NoTax,4.00000,6.50000,False,38.4600,False,0,,chilly,Standard,,
chilly s bottle,,10.00000,NoTax,10.00000,20.00000,False,50.0000,False,0,,chilly,Standard,,
ecoffee cup SMALL,,3.25000,NoTax,3.25000,8.50000,False,61.7600,False,0,,kitchen,Standard,,
tea strainer,,2.00000,NoTax,2.00000,4.50000,False,55.5600,False,0,,kitchen,Standard,,
bamboo straw,,0.75000,NoTax,0.75000,2.00000,False,62.5000,False,0,,kitchen,Standard,,
bamboo straw x 5,,0.00000,NoTax,0.00000,8.00000,False,100.0000,False,0,,kitchen,Standard,,
sponge cloths,,1.50000,NoTax,1.50000,2.50000,False,40.0000,False,0,,kitchen,Standard,,
pot brush,,2.00000,NoTax,2.00000,4.00000,False,50.0000,False,0,,kitchen,Standard,,
dish brush,,2.00000,NoTax,2.00000,4.00000,False,50.0000,False,0,,kitchen,Standard,,
veg bags ,,2.50000,NoTax,2.50000,5.00000,False,50.0000,False,0,,bags jars bottles boxes,Standard,,
bamboo toothbrush,,1.25000,NoTax,1.25000,2.50000,False,50.0000,False,0,,Dental,Standard,,
safix scouring pads,,1.00000,NoTax,1.00000,1.90000,False,47.3700,False,0,,kitchen,Standard,,
canvas shopper,,1.68000,NoTax,1.68000,3.20000,False,47.5000,False,0,,bags jars bottles boxes,Standard,,
string shopper,,1.68000,NoTax,1.68000,3.20000,False,47.5000,False,0,,bags jars bottles boxes,Standard,,
bamboo ear buds ,,1.20000,NoTax,1.20000,2.50000,False,52.0000,False,0,,bathroom,Standard,,
toilet roll,,0.80000,NoTax,0.80000,0.85000,False,5.8800,False,0,,bathroom,Standard,,
elephant box large square,,10.00000,NoTax,10.00000,16.00000,False,37.5000,False,0,,bags jars bottles boxes,Standard,,
face pads x 12,,5.42000,NoTax,5.42000,10.00000,False,45.8000,False,0,,bathroom,Standard,,
shampoo faith,,0.00600,NoTax,0.00600,0.01050,False,42.8600,False,0,,Hair,Standard,,
conditioner faith,,0.00630,NoTax,0.00630,0.01050,False,40.0000,False,0,,Hair,Standard,,
multisurface cleaner ,,0.00100,NoTax,0.00100,0.00460,False,78.2600,False,0,,washing,Standard,,
laundry powder,,0.00190,NoTax,0.00190,0.00460,False,58.7000,False,0,,washing,Standard,,
toothpaste,toothpaste,2.50000,NoTax,2.50000,5.00000,False,50.0000,False,0,,Dental,Standard,,
green tea ,green tea ,0.02400,NoTax,0.02400,0.04800,False,50.0000,False,0,,coffee /tea ,Standard,,
Earl grey ,Earl grey ,0.02400,NoTax,0.02400,0.04800,False,50.0000,False,0,,coffee /tea ,Standard,,
English Breakfast ,English Breakfast ,0.02500,NoTax,0.02500,0.05000,False,50.0000,False,0,,coffee /tea ,Standard,,
Chamomile,Chamomile,0.02140,NoTax,0.02140,0.04300,False,50.2300,False,0,,coffee /tea ,Standard,,
peppermint,peppermint,0.01300,NoTax,0.01300,0.02600,False,50.0000,False,0,,coffee /tea ,Standard,,
coffee beans ,coffee beans ,0.01370,NoTax,0.01370,0.02740,False,50.0000,False,0,,coffee /tea ,Standard,,
ground coffee,ground coffee,0.01370,NoTax,0.01370,0.02740,False,50.0000,False,0,,coffee /tea ,Standard,,
decaf,decaf,0.01600,NoTax,0.01600,0.03200,False,50.0000,False,0,,coffee /tea ,Standard,,
Pop corn ,Pop corn ,0.00200,NoTax,0.00200,0.00500,False,60.0000,False,0,,baking,Standard,,
Coconut milk powder ,Coconut milk powder ,0.01900,NoTax,0.01900,0.02500,False,24.0000,False,0,,baking,Standard,,
Cacao powder,Cacao powder,0.01300,NoTax,0.01300,0.01900,False,31.5800,False,0,,baking,Standard,,
Milk powder,Milk powder,0.01100,NoTax,0.01100,0.03200,False,65.6300,False,0,,baking,Standard,,
Liquid laundry,Liquid laundry,0.00150,NoTax,0.00150,0.00300,False,50.0000,False,0,,washing,Standard,,
Washing up liquid,Dishwashing liquid ,0.00080,NoTax,0.00080,0.00160,False,50.0000,False,0,,washing,Standard,,
beeswax wrap small,beeswax wrap small,2.00000,NoTax,2.00000,4.00000,False,50.0000,False,0,,bees,Standard,,
beeswax wraps medium,beeswax wraps medium,3.00000,NoTax,3.00000,6.00000,False,50.0000,False,0,,bees,Standard,,
beeswax wraps large,beeswax wraps large,4.50000,NoTax,4.50000,8.00000,False,43.7500,False,0,,bees,Standard,,
beeswax wrap pouch ,beeswax wrap pouch ,5.00000,NoTax,5.00000,8.50000,False,41.1800,False,0,,bees,Standard,,
Cutlery set,Cutlery set,4.78000,NoTax,4.78000,12.00000,False,60.1700,False,0,,kitchen,Standard,,
Star anise,Star anise,0.00000,NoTax,0.00000,0.02600,False,100.0000,False,0,,spices,Standard,,
premium toilet paper ,premium toilet paper ,0.83000,NoTax,0.83000,0.95000,False,12.6300,False,0,,bathroom,Standard,,
sesame seeds ,sesame seeds ,0.00400,NoTax,0.00400,0.00850,False,52.9400,False,0,,nuts & seeds,Standard,,
walnuts,walnuts,0.01500,NoTax,0.01500,0.02710,False,44.6500,False,0,,nuts & seeds,Standard,,
macaroni,macaroni,0.00200,NoTax,0.00200,0.00420,False,52.3800,True,0,,pasta & rice,Standard,,
shells,shells,0.00000,NoTax,0.00000,0.00470,False,100.0000,False,0,,pasta & rice,Standard,,
Hand wash,Hand wash bio d,0.00200,NoTax,0.00200,0.00350,False,42.8600,False,0,,bathroom,Standard,,
Pasta wholemeal,Pasta wholemeal,0.00190,NoTax,0.00190,0.00380,False,50.0000,True,0,,pasta & rice,Standard,,
Hot choc dairy free,Hot choc dairy free,0.00000,NoTax,0.00000,0.02200,False,100.0000,False,0,,coffee /tea ,Standard,,
 brushes replacement heads , brushes replacement heads ,1.50000,NoTax,1.50000,3.00000,False,50.0000,False,0,,kitchen,Standard,,
Spelt wholemeal ,Spelt wholemeal ,0.00200,NoTax,0.00200,0.00450,False,55.5600,False,0,,baking,Standard,,
Bicarb,Bicarb,0.00100,NoTax,0.00100,0.00360,False,72.2200,False,0,,washing,Standard,,
Washing soda,Washing soda,0.00000,NoTax,0.00000,0.00400,False,100.0000,False,0,,washing,Standard,,
Chilly bottle special,Chilly bottle chrome,12.00000,NoTax,12.00000,25.00000,False,52.0000,False,0,,chilly,Standard,,
Citric acid,Citric acid,0.00000,NoTax,0.00000,0.00400,False,100.0000,False,0,,washing,Standard,,
Cereal topper,Cereal topper,0.01000,NoTax,0.01000,0.02000,False,50.0000,True,0,,cereal,Standard,,
Soap,Soap,1.20000,NoTax,1.20000,2.40000,False,50.0000,False,0,,bathroom,Standard,,
